name;cover;description;god;system;system_dop;system_dop2;system_dop3;obl;montage;img1;img2;img3;img4;img5;img6;img7;img8;img9;img10;img11;img12;img13;img14;img15;img16;img17;img18;img19;img20;ronson_system;ronson_montage;ronson_vitrage;ronson_granit;ronson_klinker;ronson_decor;ronson_brick;montagepartner;inside;Keyword;ncTitle;ncKeywords;ncDescription;ncSMO_Title;ncSMO_Description;ncSMO_Image
ЖК LIFE Ботанический сад 2;0.jpg:image/jpeg:9593;г. Москва, проезд Серебрякова / ул. Сельскохозяйственная;2021.0;Ронсон-100;Ронсон-200;;;фиброцементные плиты, кассеты из алюмокомпозита;;1.jpg:image/jpeg:394819;2.jpg:image/jpeg:118604;3.jpg:image/jpeg:144746;4.jpg:image/jpeg:289846;5.jpg:image/jpeg:277154;6.jpg:image/jpeg:286241;7.jpg:image/jpeg:280909;8.jpg:image/jpeg:285156;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
МФЖК Данилов дом;0.jpg:image/jpeg:22657;г. Москва, ул. 2-я Рощинская, д.1;2020.0;Ронсон-400;;;;натуральный камень;;1.jpg:image/jpeg:200742;2.jpg:image/jpeg:262293;3.jpg:image/jpeg:340477;4.jpg:image/jpeg:198601;5.jpg:image/jpeg:133421;6.jpg:image/jpeg:390713;7.jpg:image/jpeg:361375;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК Фонвизинский;0.jpg:image/jpeg:62008;г. Москва, Огородный проезд, д. 20;2020.0;Ронсон-100;;;;фиброцементные плиты;;1.jpg:image/jpeg:392685;2.JPG:image/jpeg:359101;3.JPG:image/jpeg:353065;4.JPG:image/jpeg:334871;5.JPG:image/jpeg:260637;6.JPG:image/jpeg:351431;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Жилой дом по программе реновации;0.jpg:image/jpeg:63034;г. Москва, ул. Нарвская, вл.5;2021.0;Ронсон-500;Ронсон-600;;;декоративный камень WhiteHills, декоративные элементы из стеклофибробетона;;1.jpg:image/jpeg:395209;2.jpg:image/jpeg:454949;3.jpg:image/jpeg:414444;4.jpg:image/jpeg:342657;5.jpg:image/jpeg:410577;6.jpg:image/jpeg:407149;;;;;;;;;;;;;;;1;0;0;0;1;1;0;;1;;;;;;;
ЖК Аалто;0.jpg:image/jpeg:22717;г. Москва, Старый Петровско-Разумовский пр., д.2;2020.0;Ронсон-200;Ронсон-500;;;металлокассеты, натуральный клинкер;;1.jpg:image/jpeg:303949;2.jpg:image/jpeg:376254;3.jpg:image/jpeg:283842;4.jpg:image/jpeg:408974;5.jpg:image/jpeg:374407;6.jpg:image/jpeg:413334;;;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
ФГБУ Нмиц хирургии имени А.В. Вишневского;0.jpg:image/jpeg:62137;г. Москва, ул. Большая Серпуховская, д. 27, стр. 7;2021.0;Ронсон-200;;;;кассеты из алюминия;;1.jpg:image/jpeg:403730;2.jpg:image/jpeg:274699;3.jpg:image/jpeg:442854;4.jpg:image/jpeg:388836;5.jpg:image/jpeg:324632;6.jpg:image/jpeg:303999;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Борисовские пруды»;0.jpg:image/jpeg:32220;г. Москва, ул. Борисовские пруды, д. 7, к. 2;2020.0;Ронсон-100;Ронсон-300;;;фиброцементные плиты, керамогранит (видимое крепление);;1_DSC04353.jpg:image/jpeg:735383;2_DSC04359.jpg:image/jpeg:747402;3_DSC04369.jpg:image/jpeg:753123;4_DSC04370.jpg:image/jpeg:770853;5_DSC04371.jpg:image/jpeg:758868;6_DSC04376.jpg:image/jpeg:836225;7_DSC04378.jpg:image/jpeg:754670;8_DSC04392.jpg:image/jpeg:643292;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Донской квартал»;0.jpg:image/jpeg:73370;г. Москва, Духовской пер., д. 17;2020.0;Ронсон-500;;;;декоративный камень White Hills;;1_DSC03052.jpg:image/jpeg:1066476;4_DSC03066_1.jpg:image/jpeg:837506;8_DSC03089.jpg:image/jpeg:769637;2_DSC03058.jpg:image/jpeg:995751;3_DSC03065.jpg:image/jpeg:799445;5_DSC03069.jpg:image/jpeg:885980;6_DSC03077.jpg:image/jpeg:950550;7_DSC03086.jpg:image/jpeg:993398;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
Городской квартал RIVERPARK;0.jpg:image/jpeg:53651;г. Москва, ул. Речников, вл. 7, ул. Корабельная, 6;2021.0;Ронсон-300;Ронсон-400;;;керамогранит (видимое и скрытое крепление), терракота;;1_DSC04325.jpg:image/jpeg:629673;2_DSC04326.jpg:image/jpeg:274524;3_DSC04330.jpg:image/jpeg:651947;5_DSC04342.jpg:image/jpeg:687627;6_DSC04346.jpg:image/jpeg:687032;4_DSC04337.jpg:image/jpeg:574772;6_DSC04347.jpg:image/jpeg:582016;;;;;;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
Жилой дом по программе реновации;0.jpg:image/jpeg:54588;г. Москва, ул. Черное озеро, вл. 4;2020.0;Ронсон-500;;;;декоративный камень White Hills;;1_DSC03456.jpg:image/jpeg:954277;4_DSC03477_1.jpg:image/jpeg:829200;6_DSC03484.jpg:image/jpeg:674108;7_DSC03489_1.jpg:image/jpeg:772055;2_DSC03469.jpg:image/jpeg:748870;3_DSC03476.jpg:image/jpeg:884000;5_DSC03479.jpg:image/jpeg:754631;;;;;;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
Жилой дом по программе реновации;0.jpg:image/jpeg:31117;г. Москва, 1-й Стрелецкий проезд, д. 18;2020.0;Ронсон-500;;;;декоративный камень Экостоун;;1.jpg:image/jpeg:628952;2.jpg:image/jpeg:905570;3.jpg:image/jpeg:774631;4.jpg:image/jpeg:761238;;;;;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
ЖК «FoRest»;0.jpg:image/jpeg:5753;г. Москва, пересечение Боровского шоссе и Чоботовской улицы;2020.0;Ронсон-100;Ронсон-200;Ронсон-500;;фиброцементные плиты, металлокассеты, керамогранит (скрытое крепление), декоративный камень White Hills;;1.jpg:image/jpeg:260560;2.jpg:image/jpeg:301265;3.jpg:image/jpeg:215902;4.jpg:image/jpeg:283808;5.jpg:image/jpeg:291801;6.jpg:image/jpeg:264407;7.jpg:image/jpeg:270841;8.jpg:image/jpeg:242975;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
ЖК «Резиденция Архитекторов»;0.jpg:image/jpeg:12666;г. Москва, ул. Б. Почтовая, д. 30;2021.0;Ронсон-500;;;;декоративный камень White Hills;;1.jpg:image/jpeg:222108;2.jpg:image/jpeg:200481;3.jpg:image/jpeg:206748;4.jpg:image/jpeg:212031;5.jpg:image/jpeg:200500;6.jpg:image/jpeg:188953;7.jpg:image/jpeg:224597;8.jpg:image/jpeg:209686;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
ЖК «Десятка», Московская область;0.jpg:image/jpeg:55906;г. Раменское, ул. Молодежная, д.3;2019.0;Ронсон-300;;;;керамогранит (видимое крепление), витражи;;1.jpg:image/jpeg:289066;2.jpg:image/jpeg:419491;3.jpg:image/jpeg:238011;;;;;;;;;;;;;;;;;;1;0;1;0;0;0;0;;1;;;;;;;
Жилой дом, Московская область;0.jpg:image/jpeg:54251;г. Лобня, ул. Победы, д. 10;2020.0;Ронсон-300;;;;керамогранит (видимое крепление);;1.jpg:image/jpeg:271652;2.jpg:image/jpeg:291565;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Школа №1329;0.jpg:image/jpeg:56242;г. Москва. ул. Лабачевского, 66;2019.0;Ронсон-300;;;;керамогранит (видимое крепление);;1.jpg:image/jpeg:245150;2.jpg:image/jpeg:302872;3.jpg:image/jpeg:122320;4.jpg:image/jpeg:689496;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Торговый центр «Потапово»;0.jpg:image/jpeg:55024;г. Москва, ул. Академика Понтрягина, д. 14;2020.0;Ронсон-500;;;;декоративный камень White Hills;;1.jpg:image/jpeg:317859;2.jpg:image/jpeg:694157;3.jpg:image/jpeg:309439;;;;;;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
Торговый центр «Нахимовский»;0.jpg:image/jpeg:59957;г. Москва, Нахимовский пр., 59А;2019.0;Ронсон-400;;;;натуральный камень;;1.jpg:image/jpeg:388445;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Северный квартал», Московская область;0.jpg:image/jpeg:67314;г. Электросталь, пр-т Ленина, поз.1 и поз.2;2019.0;Ронсон-300;;;;керамогранит (видимое крепление);;1.jpg:image/jpeg:524689;2.jpg:image/jpeg:268323;3.jpg:image/jpeg:249470;4.jpg:image/jpeg:339311;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Лыткарино Хит», Московская область;0.jpg:image/jpeg:64879;г. Лыткарино, микрорайон №4а, д.5;2019.0;Ронсон-300;;;;керамогранит (видимое крепление), витражи;;1.jpg:image/jpeg:307685;2.jpg:image/jpeg:593133;3.jpg:image/jpeg:521086;4.jpg:image/jpeg:330507;;;;;;;;;;;;;;;;;1;0;1;0;0;0;0;;1;;;;;;;
ЖК «Квартал 29», Московская область;0.jpg:image/jpeg:57142;г. Мытищи, ул. Стрелковой, д.4;2020.0;Ронсон-300;;;;керамогранит (видимое крепление), витражи;;1.jpg:image/jpeg:434561;2.jpg:image/jpeg:225868;3.jpg:image/jpeg:726312;;;;;;;;;;;;;;;;;;1;0;1;0;0;0;0;;1;;;;;;;
ЖК «Флагман», Московская область;0.jpg:image/jpeg:67142;г. Раменское, Спортивный проезд, д. 6;2018.0;Ронсон-300;;;;керамогранит (видимое крепление);;1.jpg:image/jpeg:288319;2.jpg:image/jpeg:647854;3.jpg:image/jpeg:369465;4.jpg:image/jpeg:362844;5.jpg:image/jpeg:300654;6.jpg:image/jpeg:315691;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Жилые дома по программе реновации;0.jpg:image/jpeg:53414;г. Москва, Поселение Мосрентген, квартал 24, владения 1-5;2021.0;Ронсон-400;;;;керамогранит (скрытое крепление);;1.jpg:image/jpeg:342851;2.jpg:image/jpeg:642428;3.jpg:image/jpeg:271291;4.jpg:image/jpeg:349853;5.jpg:image/jpeg:199432;6.jpg:image/jpeg:160782;;;;;;;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
Жилой дом по программе реновации;1.jpg:image/jpeg:9489;г. Москва, район Бескудниковский, Коровинское шоссе, 2/38;2022.0;Ронсон-500;;;;декоративный камень White Hills;;2.jpg:image/jpeg:264742;3.jpg:image/jpeg:262731;4.jpg:image/jpeg:280179;5.jpg:image/jpeg:278460;1.jpg:image/jpeg:325873;6.jpg:image/jpeg:241792;7.jpg:image/jpeg:288721;;;;;;;;;;;;;;1;0;0;0;1;1;0;;1;;;;;;;
Гостиница «Ибис»;obl.jpg:image/jpeg:34092;Гостиница «Ибис», г. Москва;2022.0;Ронсон-300;Ронсон-400;;;керамогранит;;2.jpg:image/jpeg:172990;3.jpg:image/jpeg:236422;4.jpg:image/jpeg:221984;1.jpg:image/jpeg:196879;5.jpg:image/jpeg:168562;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Жилой дом для белорусских дипломатов;01.jpg:image/jpeg:27555;г. Москва, Погонный проезд, вл. 7;2022.0;Ронсон-300;;;;керамогранит;;2.jpg:image/jpeg:707150;3.jpg:image/jpeg:687063;4.jpg:image/jpeg:722855;1.jpg:image/jpeg:794410;5.jpg:image/jpeg:785290;6.jpg:image/jpeg:670498;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Жилой дом;01.jpg:image/jpeg:31057;г. Москва, ул. Ивана Франко, 20;2022.0;Ронсон-500;;;;декоративный камень White Hills;;1.jpg:image/jpeg:291731;2.jpg:image/jpeg:229024;3.jpg:image/jpeg:228069;;;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
Жилой дом по программе реновации;01.jpg:image/jpeg:30686;г. Москва, ул. Молодогвардейская, 20;2022.0;Ронсон-100;Ронсон-500;;;фиброцементные плиты,  декоративный камень White Hills;;1.jpg:image/jpeg:298566;2.jpg:image/jpeg:294041;3.jpg:image/jpeg:228139;4.jpg:image/jpeg:317713;5.jpg:image/jpeg:211898;6.jpg:image/jpeg:200825;7.jpg:image/jpeg:194528;8.jpg:image/jpeg:238052;9.jpg:image/jpeg:207421;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
Школа на ул. Берзарина;0.jpg:image/jpeg:31761;г. Москва, ул. Берзарина, д. 32;2023.0;Ронсон-200;Ронсон-300;;;кассеты из композита и стали, керамогранит (видимое крепление);;1.jpg:image/jpeg:302338;2.jpg:image/jpeg:302475;3.jpg:image/jpeg:289236;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Вилла Грэйс»;01.jpg:image/jpeg:27312;г. Москва, Пожарский переулок, 3-5;2022.0;Ронсон-400;Ронсон-740;;;натуральный камень, кирпич;;2.jpg:image/jpeg:1366305;1.jpg:image/jpeg:1256258;3.jpg:image/jpeg:1225394;4.jpg:image/jpeg:1392531;5.jpg:image/jpeg:1262444;6.jpg:image/jpeg:1286178;7.jpg:image/jpeg:1297526;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Балтийский»;01.jpg:image/jpeg:30686;г. Москва, Старопетровский проезд, 8;2022.0;Ронсон-300;Ронсон-400;;;керамогранит (видимое и скрытое крепление);;2.jpg:image/jpeg:1477941;3.jpg:image/jpeg:1775307;1.jpg:image/jpeg:1562815;4.jpg:image/jpeg:1461978;5.jpg:image/jpeg:1238527;6.jpg:image/jpeg:1552314;7.jpg:image/jpeg:1382313;8.jpg:image/jpeg:1505702;9.jpg:image/jpeg:1250380;;;;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
Жилой дом по программе реновации;01.jpg:image/jpeg:36685;г. Москва, ул. Онежская, вл.35;2022.0;Ронсон-500;;;;декоративный камень White Hills;;2.jpg:image/jpeg:1321078;3.jpg:image/jpeg:905729;1.jpg:image/jpeg:1261896;4.jpg:image/jpeg:1372607;;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
Жилой дом по программе реновации;01.jpg:image/jpeg:35908;г. Москва, ул. Флотская, 68;2022.0;Ронсон-500;;;;декоративный камень White Hills;;2.jpg:image/jpeg:1066235;3.jpg:image/jpeg:1059195;4.jpg:image/jpeg:981078;5.jpg:image/jpeg:857683;6.jpg:image/jpeg:1007069;7.jpg:image/jpeg:998261;8.jpg:image/jpeg:1131339;1.jpg:image/jpeg:1194455;;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
Жилой дом по программе реновации;01.jpg:image/jpeg:28900;г. Москва, ул. Талдомская, вл.1;2022.0;Ронсон-500;;;;декоративный камень White Hills;;2.jpg:image/jpeg:808662;1.jpg:image/jpeg:973474;3.jpg:image/jpeg:855212;4.jpg:image/jpeg:872079;5.jpg:image/jpeg:864916;6.jpg:image/jpeg:1021922;;;;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
Жилой дом по программе реновации;01.jpg:image/jpeg:25885;г. Москва, ул. Староалексеевская, вл.3;2022.0;Ронсон-200;Ронсон-500;;;алюминиевые кассеты, декоративный камень White Hills;;2.jpg:image/jpeg:244774;1.jpg:image/jpeg:247467;3.jpg:image/jpeg:237821;4.jpg:image/jpeg:287866;5.jpg:image/jpeg:265295;6.jpg:image/jpeg:248021;7.jpg:image/jpeg:218416;;;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
ЖД Черное озеро (реновация);0.jpg:image/jpeg:54588;г. Москва, ул. Черное озеро, вл. 4;2020.0;Ронсон-500;;;;керамогранит (скрытое крепление);;1_DSC03456.JPG:image/jpeg:954277;2_DSC03469.JPG:image/jpeg:748870;3_DSC03476.JPG:image/jpeg:884000;4_DSC03477_1.jpg:image/jpeg:829200;5_DSC03479.JPG:image/jpeg:754631;6_DSC03484.JPG:image/jpeg:674108;7_DSC03489_1.jpg:image/jpeg:772055;;;;;;;;;;;;;;1;0;0;1;1;0;0;;1;;;;;;;
Жилой дом по программе реновации;onl.jpg:image/jpeg:34349;г. Москва, Клинский проезд, вл. 2;2022.0;Ронсон-200;Ронсон-500;;;металлокассеты, декоративный камень White Hills;;2.jpg:image/jpeg:335448;3.jpg:image/jpeg:279991;4.jpg:image/jpeg:300303;1.jpg:image/jpeg:252017;5.jpg:image/jpeg:245001;6.jpg:image/jpeg:272844;7.jpg:image/jpeg:208517;8.jpg:image/jpeg:249723;9.jpg:image/jpeg:940432;10.jpg:image/jpeg:867768;11.jpg:image/jpeg:904788;12.jpg:image/jpeg:904380;13.jpg:image/jpeg:796695;14.jpg:image/jpeg:889201;15.jpg:image/jpeg:808537;16.jpg:image/jpeg:807737;17.jpg:image/jpeg:796017;18.jpg:image/jpeg:1058071;19.jpg:image/jpeg:459088;;1;0;0;0;1;1;0;;1;;;;;;;
ЖК «Квартал на Никулинской»;0.jpg:image/jpeg:35261;г. Москва, ул. Никулинская, д. 2;2022.0;Ронсон-200;Ронсон-450;;;стальные решетки, декоративный камень Экостоун на затирке;;1.jpg:image/jpeg:929303;2.jpg:image/jpeg:951853;3.jpg:image/jpeg:863517;4.jpg:image/jpeg:998800;5.jpg:image/jpeg:885049;6.jpg:image/jpeg:1011747;7.jpg:image/jpeg:911018;8.jpg:image/jpeg:881797;9.jpg:image/jpeg:800083;10.jpg:image/jpeg:865600;11.jpg:image/jpeg:934364;12.jpg:image/jpeg:743173;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Движение» Тушино;0.jpg:image/jpeg:36118;г. Москва, Волоколамское шоссе, вл. 71/22;2022.0;Ронсон-100;Ронсон-500;;;фиброцементные плиты, декоративный камень White Hills;;1.jpg:image/jpeg:652413;2.jpg:image/jpeg:687164;3.jpg:image/jpeg:836283;4.jpg:image/jpeg:781961;5.jpg:image/jpeg:681589;6.jpg:image/jpeg:795081;7.jpg:image/jpeg:708435;8.jpg:image/jpeg:813781;;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
ЖК «Бауман Хаус»;0.jpg:image/jpeg:31463;г. Москва, ул. Новая дорога, д.11;2022.0;Ронсон-500;;;;декоративный камень White Hills;;1.jpg:image/jpeg:990504;2.jpg:image/jpeg:897047;3.jpg:image/jpeg:998553;4.jpg:image/jpeg:691108;5.jpg:image/jpeg:739671;6.jpg:image/jpeg:757753;7.jpg:image/jpeg:789102;8.jpg:image/jpeg:985869;;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
МФЦ на Осеннем бульваре;00.jpg:image/jpeg:29705;г. Москва, Осенний бульвар, 8;2022.0;Ронсон-400;;;;керамогранит (скрытое крепление);;1.jpg:image/jpeg:105251;2.jpg:image/jpeg:145296;3.jpg:image/jpeg:149219;4.jpg:image/jpeg:103701;5.jpg:image/jpeg:151886;6.jpg:image/jpeg:158971;7.jpg:image/jpeg:119311;8.jpg:image/jpeg:118165;;;;;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
ЖК «Соседи»;0.jpg:image/jpeg:29120;г. Москва, Рязанский проспект, вл. 6А;2022.0;Ронсон-200;Ронсон-500;;;алюмокомпозит, декоративный камень White Hills;;1.jpg:image/jpeg:820044;2.jpg:image/jpeg:604595;3.jpg:image/jpeg:861960;4.jpg:image/jpeg:650331;5.jpg:image/jpeg:693777;6.jpg:image/jpeg:730157;7.jpg:image/jpeg:628353;8.jpg:image/jpeg:823587;;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
ЖК «L-Club» Люблино;0.jpg:image/jpeg:32490;г. Москва, ул. Совхозная, 10 Б;2022.0;Ронсон-200;Ронсон-500;;;алюмокомпозит, стальные ламели, декоративный камень White Hills;;1.jpg:image/jpeg:886842;2.jpg:image/jpeg:787040;3.jpg:image/jpeg:1022194;4.jpg:image/jpeg:925549;5.jpg:image/jpeg:945078;6.jpg:image/jpeg:827132;7.jpg:image/jpeg:1067582;8.jpg:image/jpeg:879451;;;;;;;;;;;;;1;0;0;0;1;1;0;;1;;;;;;;
ЖК «Нахимов»;0.jpg:image/jpeg:42445;г. Москва, Нахимовский проспект, 31;2022.0;Ронсон-200;Ронсон-400;;;алюмокомпозит, терракота;;1.jpg:image/jpeg:844185;2.jpg:image/jpeg:890213;3.jpg:image/jpeg:698312;4.jpg:image/jpeg:748700;5.jpg:image/jpeg:759487;6.jpg:image/jpeg:756581;7.jpg:image/jpeg:731259;8.jpg:image/jpeg:773902;9.jpg:image/jpeg:868216;10.jpg:image/jpeg:679758;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Офисное здание;0.jpg:image/jpeg:30445;г. Москва, ул. Нижегородская, 32;2022.0;Ронсон-200;;;;алюмокомпозит;;1.jpg:image/jpeg:605547;2.jpg:image/jpeg:865581;3.jpg:image/jpeg:572476;4.jpg:image/jpeg:550903;5.jpg:image/jpeg:535169;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Румянцево парк»;0.jpg:image/jpeg:31736;г. Москва, поселение Московский, ул. Родниковая, д 30, к 1;2022.0;Ронсон-100;Ронсон-200;Ронсон-300;;Фиброцементные плиты, Керамогранит,  Металлокассеты,  White Hills;;1.jpg:image/jpeg:188316;2.jpg:image/jpeg:175836;3.jpg:image/jpeg:181443;4.jpg:image/jpeg:195713;5.jpg:image/jpeg:195617;6.jpg:image/jpeg:188764;7.jpg:image/jpeg:134590;8.jpg:image/jpeg:189963;9.jpg:image/jpeg:154414;10.jpg:image/jpeg:208065;11.jpg:image/jpeg:145500;12.jpg:image/jpeg:248562;13.jpg:image/jpeg:190444;;;;;;;;1;0;0;0;1;1;0;;1;;;;;;;
ЖК «Резиденция Композиторов»;0.jpg:image/jpeg:32261;г. Москва, Павелецкая набережная, вл. 8;2022.0;Ронсон-500;;;;декоративный камень White Hills;;1.jpg:image/jpeg:165531;2.jpg:image/jpeg:144334;3.jpg:image/jpeg:154004;4.jpg:image/jpeg:239430;5.jpg:image/jpeg:158124;6.jpg:image/jpeg:159416;;;;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
ЖК «Символ»;0.jpg:image/jpeg:36448;г. Москва, проезд Завода Серп и Молот, вл 12;2022.0;Ронсон-200;Ронсон-500;;;декоративный камень White Hills, стальной композит Sibalux;;1.jpg:image/jpeg:172737;2.jpg:image/jpeg:144423;3.jpg:image/jpeg:178685;4.jpg:image/jpeg:150384;5.jpg:image/jpeg:150409;6.jpg:image/jpeg:150507;7.jpg:image/jpeg:167252;8.jpg:image/jpeg:163851;9.jpg:image/jpeg:138049;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
ЖК «NOW» (1-ая очередь);0.jpg:image/jpeg:30356;г. Москва, Нагатинская пойма, Проектируемый проезд 4062, вл. 6;2022.0;Ронсон-200;Ронсон-500;Ронсон-600;;декоративный камень White Hills, Листовой стальной композит, Декор из стеклофибробетона Архидея;;1.jpg:image/jpeg:155545;2.jpg:image/jpeg:160499;3.jpg:image/jpeg:179711;4.jpg:image/jpeg:163444;5.jpg:image/jpeg:192479;6.jpg:image/jpeg:145227;7.jpg:image/jpeg:167362;8.jpg:image/jpeg:190304;9.jpg:image/jpeg:180644;10.jpg:image/jpeg:194000;;;;;;;;;;;1;0;0;0;1;1;0;;1;;;;;;;
Клубный дом «РЕКА»;0.jpg:image/jpeg:35670;г. Москва, Мичуринский проспект, д. 60, к 1;2022.0;Ронсон-400;;;;керамогранит (скрытое крепление), натуральный камень известняк;;1.jpg:image/jpeg:361953;2.jpg:image/jpeg:407543;3.jpg:image/jpeg:507363;4.jpg:image/jpeg:483051;5.jpg:image/jpeg:616044;6.jpg:image/jpeg:494207;7.jpg:image/jpeg:377189;8.jpg:image/jpeg:467508;9.jpg:image/jpeg:353918;;;;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
ЖК «Тринити»;0.jpg:image/jpeg:33054;г. Москва, Дмитровское шоссе, д. 73 Б;2022.0;Ронсон-100;Ронсон-400;;;плиты KMEW, терракота;;1.jpg:image/jpeg:498635;2.jpg:image/jpeg:437068;3.jpg:image/jpeg:456484;4.jpg:image/jpeg:244571;5.jpg:image/jpeg:509164;6.jpg:image/jpeg:370237;7.jpg:image/jpeg:416731;8.jpg:image/jpeg:447132;9.jpg:image/jpeg:437228;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Офис продаж Зорге №9;0.jpg:image/jpeg:34296;г. Москва, ул. Зорге, д. 9;2023.0;Ронсон-450;;;;клинкер на затирке;;1.jpg:image/jpeg:445115;2.jpg:image/jpeg:330475;3.jpg:image/jpeg:364181;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Дивное»;0.jpg:image/jpeg:33572;г. Видное, Зеленый пер., д. 9;2023.0;Ронсон-300;Ронсон-400;;;керамогранит (видимое крепление), керамогранит (скрытое крепление);;1.jpg:image/jpeg:286324;2.jpg:image/jpeg:348707;3.jpg:image/jpeg:289574;4.jpg:image/jpeg:323349;5.jpg:image/jpeg:332802;6.jpg:image/jpeg:387981;7.jpg:image/jpeg:371310;8.jpg:image/jpeg:404509;9.jpg:image/jpeg:348535;10.jpg:image/jpeg:356051;11.jpg:image/jpeg:362026;12.jpg:image/jpeg:369412;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
Многопрофильный медицинский центр, клиника «Протек»;0.jpg:image/jpeg:29294;г. Москва, ул. Кременчугская, д. 3;2023.0;Ронсон-200;Ронсон-400;Ронсон-500;Ронсон-600;кассеты из композита и стали, листовой стальной композит, керамогранит (скрытое крепление), клинкер, фасадный декор;;1.jpg:image/jpeg:606527;2.jpg:image/jpeg:531940;3.jpg:image/jpeg:514919;4.jpg:image/jpeg:412010;5.jpg:image/jpeg:272152;6.jpg:image/jpeg:333167;7.jpg:image/jpeg:317132;;;;;;;;;;;;;;1;0;0;1;1;1;0;;1;;;;;;;
